md,GR
228,70.952
228.5,70.484
229,70.155
229.5,70.146
230,73.13
230.5,77.223
231,81.316
231.5,83.551
232,83.25
232.5,82.44
233,80.45
233.5,77.892
234,76.791
234.5,76.826
235,79.466
235.5,84.116
236,83.855
236.5,80.017
237,75.044
237.5,69.172
238,65.06
238.5,64.898
239,66.493
239.5,69.58
240,72.667
240.5,74.58
241,74.887
241.5,75.227
242,76.542
242.5,78.547
243,80.383
243.5,81.136
244,80.882
244.5,79.957
245,73.735
245.5,73.647
246,75.423
246.5,77.286
247,78.863
247.5,79.793
248,81.703
248.5,84.414
249,86.601
249.5,86.32
250,82.188
250.5,83.837
251,85.289
251.5,80.806
252,76.169
252.5,72.053
253,70.417
253.5,73.412
254,74.824
254.5,70.858
255,64.205
255.5,52.854
256,43.924
256.5,44.212
257,48.517
257.5,52.064
258,56.704
258.5,63.372
259,72.124
259.5,75.638
260,75.922
260.5,71.562
261,70.871
261.5,73.612
262,79.488
262.5,81.906
263,81.634
263.5,72.762
264,70.078
264.5,69.914
265,71.311
265.5,74.689
266,78.256
266.5,79.203
267,79.946
267.5,79.011
268,76.591
268.5,70.698
269,69.969
269.5,71.48
270,74.563
270.5,77.645
271,87.768
271.5,83.012
272,76.91
272.5,75.43
273,75.435
273.5,75.44
274,75.927
274.5,77.253
275,81.185
275.5,87.873
276,89.627
276.5,88.976
277,87.148
277.5,85.353
278,84.411
278.5,85.155
279,85.583
279.5,84.62
280,80.633
280.5,79.348
281,80.448
281.5,81.881
282,82.933
282.5,83.499
283,82.689
283.5,79.642
284,77.498
284.5,77.427
285,78.925
285.5,81.775
286,84.625
286.5,87.16
287,86.895
287.5,85.447
288,58.269
288.5,48.231
289,41.725
289.5,41.35
290,47.664
290.5,54.196
291,56.604
291.5,57.337
292,57.926
292.5,61.856
293,66.816
293.5,74.554
294,80.174
294.5,82.962
295,82.807
295.5,81.654
296,75.768
296.5,69.882
297,65.285
297.5,65.218
298,66.643
298.5,73.646
299,76.269
299.5,78.893
300,82.131
300.5,86.72
301,91.575
301.5,91.935
302,91.462
302.5,89.261
303,86.573
303.5,83.068
304,79.083
304.5,75.097
305,72.303
305.5,71.881
306,74.844
306.5,83.19
307,89.842
307.5,89.673
308,88.584
308.5,86.812
309,85.107
309.5,84.149
310,80.926
310.5,78.548
311,76.613
311.5,74.678
312,73.467
312.5,72.919
313,70.82
313.5,67.51
314,69.584
314.5,74.963
315,82.351
315.5,82.526
316,79.948
316.5,76.023
317,74.763
317.5,74.188
318,73.612
318.5,71.539
319,68.098
319.5,65.159
320,65.593
320.5,70.166
321,79.849
321.5,77.658
322,71.034
322.5,64.411
323,57.787
323.5,57.045
324,61.724
324.5,64.523
325,63.518
325.5,62.155
326,61.429
326.5,61.726
327,62.605
327.5,66.914
328,71.242
328.5,73.829
329,73.6
329.5,72.072
330,70.949
330.5,70.419
331,70.09
331.5,70.007
332,70.403
332.5,72.377
333,75.769
333.5,82.666
334,84.797
334.5,83.264
335,80.865
335.5,79.217
336,80.341
336.5,87.984
337,89.403
337.5,88.85
338,87.487
338.5,85.987
339,85.805
339.5,85.801
340,84.813
340.5,81.089
341,77.366
341.5,73.943
342,69.237
342.5,67.567
343,69.604
343.5,71.386
344,71.811
344.5,71.177
345,70.275
345.5,69.724
346,69.342
346.5,69.749
347,71.105
347.5,72.462
348,73.354
348.5,72.359
349,63.898
349.5,57.154
350,57.948
350.5,63.767
351,70.368
351.5,73.612
352,72.756
352.5,71.445
353,71.641
353.5,72.467
354,72.47
354.5,70.815
355,68.333
355.5,64.456
356,63.115
356.5,61.402
357,59.39
357.5,57.017
358,54.644
358.5,53.715
359,53.892
359.5,62.264
360,67.64
360.5,65.777
361,64.924
361.5,66.108
362,68.115
362.5,69.986
363,69.989
363.5,69.991
364,71.697
364.5,75.343
365,80.363
365.5,86.812
366,86.841
366.5,83.491
367,78.715
367.5,76.955
368,81.622
368.5,88.19
369,94.757
369.5,95.683
370,95.313
370.5,86.589
371,86.485
371.5,87.161
372,87.531
372.5,87.208
373,84.967
373.5,76.975
374,73.933
374.5,74.626
375,79.086
375.5,89.281
376,89.815
376.5,87.172
377,83.145
377.5,79.117
378,75.337
378.5,73.687
379,72.076
379.5,68.388
380,61.771
380.5,55.155
381,49.739
381.5,48.343
382,48.651
382.5,54.325
383,54.805
383.5,51.861
384,47.973
384.5,44.085
385,42.474
385.5,47.205
386,51.331
386.5,64.946
387,66.68
387.5,71.665
388,75.416
388.5,80.663
389,81.141
389.5,79.851
390,79.55
390.5,81.634
391,86.525
391.5,86.456
392,84.927
392.5,82.247
393,79.544
393.5,77.433
394,77.052
394.5,78.484
395,82.05
395.5,82.862
396,81.383
396.5,74.832
397,75.14
397.5,77.817
398,81.058
398.5,79.034
399,76.325
399.5,68.18
400,65.952
400.5,66.109
401,68.172
401.5,70.234
402,70.707
402.5,70.548
403,69.713
403.5,68.862
404,68.617
404.5,69.552
405,70.062
405.5,70.116
406,70.17
406.5,70.224
407,70.279
407.5,71.762
408,76.107
408.5,76.247
409,74.498
409.5,69.758
410,69.305
410.5,71.869
411,73.182
411.5,72.097
412,70.947
412.5,69.857
413,68.336
413.5,66.083
414,66.152
414.5,72.12
415,75.28
415.5,80.294
416,80.344
416.5,79.197
417,75.666
417.5,70.174
418,65.47
418.5,62.378
419,58.792
419.5,56.56
420,56.464
420.5,57.615
421,59.96
421.5,62.308
422,64.993
422.5,65.226
423,65.594
423.5,67.633
424,69.017
424.5,70.035
425,70.862
425.5,71.006
426,70.96
426.5,70.872
427,70.177
427.5,69.233
428,67.356
428.5,66.246
429,65.685
429.5,65.576
430,66.693
430.5,67.966
431,69.24
431.5,70.513
432,71.787
432.5,75.942
433,82.003
433.5,82.556
434,76.722
434.5,72.514
435,73.668
435.5,75.741
436,74.485
436.5,68.772
437,63.917
437.5,56.757
438,56.576
438.5,57.906
439,60.049
439.5,62.37
440,64.887
440.5,72.271
441,76.128
441.5,76.473
442,76.877
442.5,78.162
443,80.01
443.5,80.028
444,78.576
444.5,75.789
445,72.964
445.5,70.599
446,69.904
446.5,69.711
447,69.519
447.5,68.851
448,68.132
448.5,67.394
449,66.811
449.5,66.873
450,72.655
450.5,73.082
451,70.497
451.5,66.234
452,61.67
452.5,58.982
453,58.872
453.5,58.681
454,58.406
454.5,58.029
455,57.48
455.5,55.916
456,53.427
456.5,45.859
457,44.835
457.5,47.283
458,53.246
458.5,59.364
459,65.856
459.5,72.347
460,78.839
460.5,85.33
461,85.416
461.5,82.778
462,75.272
462.5,57.268
463,49.288
463.5,45.283
464,46.406
464.5,57.746
465,70.583
465.5,77.795
466,77.844
466.5,55.46
467,48.074
467.5,43.873
468,44.12
468.5,50.622
469,52.505
469.5,54.387
470,56.948
470.5,59.667
471,61.848
471.5,64.228
472,66.614
472.5,68.718
473,68.422
473.5,56.974
474,43.993
