md,GR
1884.5,30.61
1885,28.279
1885.5,25.948
1886,25.367
1886.5,25.303
1887,26.946
1887.5,29.96
1888,32.902
1888.5,33.082
1889,30.214
1889.5,27.402
1890,26.721
1890.5,31.349
1891,31.536
1891.5,30.551
1892,29.977
1892.5,30.818
1893,31.729
1893.5,30.799
1894,29.924
1894.5,29.103
1895,28.281
1895.5,27.46
1896,26.639
1896.5,25.855
1897,25.11
1897.5,24.219
1898,23.175
1898.5,22.131
1899,21.683
1899.5,21.327
1900,21.213
1900.5,25.661
1901,27.919
1901.5,31.709
1902,34.953
1902.5,39.533
1903,43.194
1903.5,46.468
1904,46.724
1904.5,46.007
1905,43.109
1905.5,41.447
1906,39.231
1906.5,36.21
1907,31.912
1907.5,26.706
1908,25.955
1908.5,26.052
1909,28.157
1909.5,42.952
1910,43.777
1910.5,38.002
1911,31.742
1911.5,25.811
1912,24.792
1912.5,24.631
1913,24.47
1913.5,24.309
1914,24.132
1914.5,23.949
1915,23.767
1915.5,23.336
1916,21.997
1916.5,19.035
1917,17.592
1917.5,16.149
1918,15.649
1918.5,16.198
1919,17.99
1919.5,20.24
1920,22.309
1920.5,23.233
1921,23.995
1921.5,28.841
1922,31.268
1922.5,34.035
1923,34.276
1923.5,34.648
1924,36.033
1924.5,38.188
1925,39.01
1925.5,38.888
1926,38.669
1926.5,38.847
1927,39.613
1927.5,40.268
1928,36.142
1928.5,31.531
1929,26.919
1929.5,22.308
1930,17.696
1930.5,13.875
1931,11.606
1931.5,11.763
1932,12.616
1932.5,13.877
1933,15.138
1933.5,16.523
1934,15.744
1934.5,14.263
1935,12.727
1935.5,11.378
1936,10.945
1936.5,11.763
1937,12.697
1937.5,14.341
1938,16.145
1938.5,18.069
1939,21.418
1939.5,28.19
1940,34.962
1940.5,50.755
1941,50.641
1941.5,46.477
1942,38.341
1942.5,35.013
1943,34.333
1943.5,35.051
1944,36.759
1944.5,38.726
1945,40.692
1945.5,40.281
1946,35.642
1946.5,31.992
1947,31.957
1947.5,33.767
1948,36.592
1948.5,38.492
1949,37.95
1949.5,35.572
1950,32.252
1950.5,29.577
1951,29.439
1951.5,29.85
1952,30.538
1952.5,31.314
1953,32.221
1953.5,32.987
1954,37.266
1954.5,41.271
1955,41.255
1955.5,41.033
1956,40.342
1956.5,38.631
1957,36.92
1957.5,35.209
1958,33.498
1958.5,31.787
1959,30.076
1959.5,28.583
1960,27.644
1960.5,27.655
1961,30.361
1961.5,30.737
1962,30.648
1962.5,30.491
1963,30.006
1963.5,29.521
1964,29.036
1964.5,26.868
1965,24.81
1965.5,23.131
1966,21.51
1966.5,20.522
1967,20.107
1967.5,21.309
1968,27.529
1968.5,33.75
1969,53.337
1969.5,53.506
1970,52.556
1970.5,46.897
1971,40.421
1971.5,37.359
1972,34.739
1972.5,33.843
1973,33.251
1973.5,32.533
1974,30.298
1974.5,28.062
1975,27.498
1975.5,27.592
1976,29.51
1976.5,32.507
1977,36.631
1977.5,40.634
1978,44.638
1978.5,46.477
1979,46.36
1979.5,43.842
1980,29.07
1980.5,27.203
1981,25.665
1981.5,24.126
1982,22.568
1982.5,20.599
1983,19.62
1983.5,21.406
1984,23.192
1984.5,25.46
1985,29.756
1985.5,40.074
1986,47.839
1986.5,54.853
1987,61.866
1987.5,69.322
1988,77.376
1988.5,80.502
1989,81.845
1989.5,81.71
1990,79.965
1990.5,77.708
1991,75.45
1991.5,73.192
1992,72.483
1992.5,71.787
1993,70.915
1993.5,69.41
1994,63.228
1994.5,61.86
1995,62.104
1995.5,63.923
1996,65.257
1996.5,66.17
1997,67.128
1997.5,69.058
1998,74.287
1998.5,81.741
1999,81.882
1999.5,80.683
2000,75.477
2000.5,71.326
2001,70.922
2001.5,71.862
2002,73.224
2002.5,77.022
2003,80.82
2003.5,81.292
2004,81.157
2004.5,79.965
2005,78.276
2005.5,76.485
2006,74.695
2006.5,72.904
2007,71.114
2007.5,66.394
2008,61.524
2008.5,56.654
2009,51.989
2009.5,47.946
2010,42.852
2010.5,37.107
2011,35.071
2011.5,35.071
2012,35.702
2012.5,36.428
2013,37.318
2013.5,38.531
2014,37.633
2014.5,36.452
2015,35.358
2015.5,34.595
2016,34.231
2016.5,34.388
2017,34.978
2017.5,35.423
2018,35.662
2018.5,38.412
2019,41.866
2019.5,46.057
2020,52.441
2020.5,60.998
2021,66.351
2021.5,66.524
2022,66.697
2022.5,67.865
2023,69.869
2023.5,70.554
2024,70.503
2024.5,70.453
2025,71.647
2025.5,74.706
2026,81.481
2026.5,85.242
2027,89.004
2027.5,91.491
2028,93.678
2028.5,93.766
2029,93.567
2029.5,92.366
2030,83.425
2030.5,86.646
2031,87.072
2031.5,84.375
2032,80.495
2032.5,73.485
2033,71.57
2033.5,61.589
2034,56.304
2034.5,48.35
2035,48.104
2035.5,53.253
2036,61.289
2036.5,60.594
2037,56.644
2037.5,51.743
2038,47.982
2038.5,45.038
2039,42.094
2039.5,39.15
2040,36.206
2040.5,28.952
2041,25.768
2041.5,25.418
2042,25.619
2042.5,26.33
2043,27.042
2043.5,27.834
2044,28.812
2044.5,29.79
2045,30.768
2045.5,31.428
2046,31.865
2046.5,34.464
2047,37.965
2047.5,39.601
2048,39.016
2048.5,37.556
2049,35.667
2049.5,33.777
2050,31.936
2050.5,30.05
2051,28.063
2051.5,26.077
2052,25.462
2052.5,25.19
2053,30.441
2053.5,39.1
2054,48.828
2054.5,65.891
2055,69.551
2055.5,79.175
2056,77.656
2056.5,72.103
2057,65.973
2057.5,59.004
2058,54.752
2058.5,48.106
2059,47.765
2059.5,47.765
2060,52.197
2060.5,60.429
2061,64.112
2061.5,63.61
2062,60.265
2062.5,50.611
2063,45.288
2063.5,40.772
2064,39.381
2064.5,39.156
2065,38.932
2065.5,38.826
2066,38.983
2066.5,40.21
2067,41.55
2067.5,42.399
2068,42.788
2068.5,43.223
2069,44.745
2069.5,45.392
2070,44.858
2070.5,43.089
2071,40.516
2071.5,38.163
2072,37.305
2072.5,36.181
2073,34.824
2073.5,34.029
2074,33.641
2074.5,34.97
2075,39.788
2075.5,39.413
2076,34.405
2076.5,26.318
2077,23.529
2077.5,23.577
2078,24.691
2078.5,28.298
2079,33.023
2079.5,37.852
2080,44.844
2080.5,50.673
2081,45.541
2081.5,43.928
2082,44.78
2082.5,52.828
2083,58.342
2083.5,62.073
2084,63.534
2084.5,65.607
2085,67.747
2085.5,70.978
2086,74.948
2086.5,78.884
2087,79.78
2087.5,79.396
2088,77.636
2088.5,75.607
2089,73.577
2089.5,72.427
2090,71.834
2090.5,71.565
2091,71.493
2091.5,71.609
2092,72.079
2092.5,72.771
2093,73.462
2093.5,75.412
2094,82.56
2094.5,92.53
2095,92.708
2095.5,91.111
2096,83.708
2096.5,71.283
2097,51.049
2097.5,56.494
2098,63.044
2098.5,68.616
2099,74.188
2099.5,75.807
2100,75.963
2100.5,72.609
2101,67.321
2101.5,66.81
2102,66.377
2102.5,66.003
2103,61.828
2103.5,61.248
2104,62.714
2104.5,65.959
2105,67.373
2105.5,69.216
2106,72.52
2106.5,75.824
2107,81.203
2107.5,81.414
2108,70.928
2108.5,62.143
2109,62.333
2109.5,64.333
2110,69.881
2110.5,75.43
2111,78.299
2111.5,73.632
2112,68.136
2112.5,64.965
2113,59.387
2113.5,57.928
2114,58.585
2114.5,60.379
2115,60.585
2115.5,60.442
2116,59.882
2116.5,58.954
2117,56.887
2117.5,54.537
2118,54.653
2118.5,57.362
2119,63.493
2119.5,71.339
2120,77.425
2120.5,77.508
2121,74.766
2121.5,74.363
2122,73.989
2122.5,73.631
2123,72.165
2123.5,69.808
2124,69.735
2124.5,69.537
2125,67.247
2125.5,59.752
2126,59.994
2126.5,62.037
2127,65.736
2127.5,69.36
2128,69.723
2128.5,69.743
2129,67.019
2129.5,63.562
2130,59.384
2130.5,55.324
2131,54.612
2131.5,54.377
2132,55.732
2132.5,65.85
2133,71.147
2133.5,71.745
2134,68.642
2134.5,60.891
2135,54.38
2135.5,53.315
2136,52.739
2136.5,52.256
2137,51.63
2137.5,44.947
2138,36.03
2138.5,29.859
2139,28.702
2139.5,28.133
2140,27.565
2140.5,26.351
2141,21.973
2141.5,22.1
2142,23.627
2142.5,26.429
2143,29.141
2143.5,31.438
2144,31.156
2144.5,29.882
2145,28.608
2145.5,27.405
2146,26.481
2146.5,25.653
2147,25.078
2147.5,25.008
2148,25.814
2148.5,26.774
2149,28.121
2149.5,30.383
2150,31.737
2150.5,31.92
2151,30.778
2151.5,26.529
2152,23.059
2152.5,21.102
2153,20.523
2153.5,21.37
2154,22.218
2154.5,22.73
2155,22.289
2155.5,21.986
2156,21.866
2156.5,22.208
2157,23.24
2157.5,24.894
2158,27.326
2158.5,29.758
2159,33.266
2159.5,38.524
2160,39.183
2160.5,38.828
2161,32.375
2161.5,26.745
2162,26.379
2162.5,28.802
2163,32.714
2163.5,47.005
2164,48.856
2164.5,47.659
2165,37.736
2165.5,28.5
2166,25.058
2166.5,24.175
2167,23.036
2167.5,21.897
2168,21.42
2168.5,22.658
2169,24.402
2169.5,27.832
2170,28.836
2170.5,25.295
2171,20.694
2171.5,18.76
2172,19.292
2172.5,23.503
2173,27.714
2173.5,28.579
2174,27.756
2174.5,25.29
2175,23.738
2175.5,25.139
2176,27.903
2176.5,32.882
2177,37.056
2177.5,38.389
2178,39.531
2178.5,46.605
2179,63.219
2179.5,82.349
2180,85.063
2180.5,85.26
2181,84.93
2181.5,84.6
2182,84.204
2182.5,84.119
2183,84.742
2183.5,85.486
2184,85.052
2184.5,82.624
2185,80.824
2185.5,80.19
2186,79.551
2186.5,78.479
2187,74.328
2187.5,67.311
2188,62.789
2188.5,62.715
2189,63.778
2189.5,67.192
2190,70.606
2190.5,71.404
2191,71.767
2191.5,73.906
2192,78.92
2192.5,86.996
2193,89.78
2193.5,87.187
2194,83.265
2194.5,77.902
2195,73.241
2195.5,60.847
2196,48.453
2196.5,44.035
2197,45.438
2197.5,52.015
2198,65.259
2198.5,73.791
2199,73.991
2199.5,67.789
2200,60.121
2200.5,58.211
2201,56.457
2201.5,55.386
2202,51.641
2202.5,46.067
2203,42.194
2203.5,30.255
2204,27.484
2204.5,26.491
2205,25.893
2205.5,25.549
2206,25.631
2206.5,27.674
2207,28.677
2207.5,29.659
2208,30.642
2208.5,34.45
2209,39.499
2209.5,44.489
2210,49.478
2210.5,54.369
2211,57.757
2211.5,61.712
2212,69.892
2212.5,75.443
2213,77.737
2213.5,91.142
2214,94.897
2214.5,96.314
2215,96.394
2215.5,95.069
2216,87.627
2216.5,79.598
2217,74.361
2217.5,69.123
2218,63.886
2218.5,58.649
2219,53.412
2219.5,48.174
2220,42.937
2220.5,37.7
2221,29.072
2221.5,22.85
2222,21.558
2222.5,21.777
2223,22.342
2223.5,25.013
2224,28.768
2224.5,29.743
2225,29.607
2225.5,28.56
2226,26.354
2226.5,21.195
2227,19.004
2227.5,18.557
2228,18.716
2228.5,18.875
2229,20.515
2229.5,24.28
2230,29.88
2230.5,31.145
2231,30.28
2231.5,27.878
2232,25.796
2232.5,25.025
2233,25.542
2233.5,28.274
2234,30.323
2234.5,32.448
2235,33.706
2235.5,35.015
2236,45.643
2236.5,69.053
2237,82.48
2237.5,90.511
2238,100.321
2238.5,99.735
2239,97.972
2239.5,94.342
2240,88.606
2240.5,84.092
2241,68.048
2241.5,51.712
2242,34.169
2242.5,21.278
2243,20.294
2243.5,19.668
2244,19.307
2244.5,17.25
2245,15.671
2245.5,14.851
2246,14.619
2246.5,14.404
2247,14.54
2247.5,14.677
2248,14.914
2248.5,15.585
2249,16.255
2249.5,16.926
2250,18.922
2250.5,20.843
2251,20.859
2251.5,19.438
2252,18.939
2252.5,18.532
2253,18.096
2253.5,16.862
2254,16.196
2254.5,15.816
2255,16.338
2255.5,17.296
2256,18.098
2256.5,18.098
2257,17.474
2257.5,16.193
2258,14.751
2258.5,14.074
2259,13.646
2259.5,13.5
2260,13.909
2260.5,15.259
2261,16.91
2261.5,18.485
2262,19.865
2262.5,24.078
2263,27.361
2263.5,27.64
2264,27.319
2264.5,25.301
2265,23.283
2265.5,19.054
2266,14.427
2266.5,12.86
2267,12.645
2267.5,15.244
2268,17.675
2268.5,19.781
2269,20.826
2269.5,21.396
2270,24.597
2270.5,28.996
2271,31.263
2271.5,31.301
2272,30.03
2272.5,28.786
2273,27.009
2273.5,26.921
2274,27.262
2274.5,27.603
2275,27.489
2275.5,26.751
2276,26.346
2276.5,26.423
2277,29.316
2277.5,33.205
2278,36.395
2278.5,40.087
2279,43.899
2279.5,47.711
2280,58.551
2280.5,67.512
2281,65.804
2281.5,65.263
2282,66.412
2282.5,70.257
2283,75.011
2283.5,81.13
2284,84.069
2284.5,90.407
2285,90.393
2285.5,89.376
2286,86.382
2286.5,84.368
2287,84.711
2287.5,86.842
2288,89.366
2288.5,91.89
2289,92.799
2289.5,92.889
2290,90.732
2290.5,73.567
2291,56.051
2291.5,50.08
2292,45.175
2292.5,41.062
2293,39.12
2293.5,38.163
2294,37.307
2294.5,34.82
2295,33.445
2295.5,32.598
2296,32.528
2296.5,34.188
2297,34.769
2297.5,35.349
2298,36.468
2298.5,39.252
2299,40.943
2299.5,42.634
2300,43.043
2300.5,43.064
2301,42.72
2301.5,41.911
2302,38.51
2302.5,37.918
2303,38.075
2303.5,43.06
2304,59.512
2304.5,70.548
2305,71.092
2305.5,71.848
2306,72.697
2306.5,73.546
2307,78.851
2307.5,84.408
2308,84.626
2308.5,84.063
2309,82.984
2309.5,81.457
2310,78.479
2310.5,68.473
2311,68.34
2311.5,73.553
2312,79.111
2312.5,77.769
2313,76.375
2313.5,76.158
2314,77.815
2314.5,79.82
2315,80.206
2315.5,79.665
2316,77.775
2316.5,77.306
2317,77.111
2317.5,77.247
2318,78.213
2318.5,79.649
2319,81.002
2319.5,81.834
2320,81.97
2320.5,76.346
2321,73.044
2321.5,72.781
2322,74.856
2322.5,77.427
2323,78.953
2323.5,77.788
2324,75.166
2324.5,74.376
2325,75.89
2325.5,77.437
2326,78.111
2326.5,81.154
2327,82.298
2327.5,82.184
2328,78.588
2328.5,74.046
2329,64.535
2329.5,62.345
2330,64.792
2330.5,68.934
2331,73.09
2331.5,74.24
2332,75.145
2332.5,75.35
2333,75.258
2333.5,75.424
2334,76.569
2334.5,77.714
2335,80.063
2335.5,81.32
2336,81.897
2336.5,82.475
2337,83.145
2337.5,84.273
2338,85.124
2338.5,85.548
2339,85.283
2339.5,84.651
2340,81.496
2340.5,82.017
2341,86.358
2341.5,89.231
2342,89.239
2342.5,87.062
2343,83.807
2343.5,81.379
2344,80.903
2344.5,88.982
2345,88.652
2345.5,84.793
2346,81.461
2346.5,81.731
2347,84.244
2347.5,84.591
2348,83.808
2348.5,82.452
2349,80.683
2349.5,79.049
2350,78.87
2350.5,79.199
2351,80.957
2351.5,82.715
2352,84.468
2352.5,86.196
2353,87.289
2353.5,87.716
2354,88.086
2354.5,88.556
2355,88.303
2355.5,87.652
2356,85.737
2356.5,82.665
2357,78.132
2357.5,75.696
2358,73.173
2358.5,71.81
2359,70.641
2359.5,74.163
2360,80.517
2360.5,84.092
2361,83.082
2361.5,79.679
2362,78.097
2362.5,78.394
2363,82.21
2363.5,85.674
2364,87.397
2364.5,89.512
2365,88.727
2365.5,87.421
2366,85.276
2366.5,83.736
2367,82.945
2367.5,83.411
2368,84.857
2368.5,85.996
2369,85.735
2369.5,84.167
2370,82.599
2370.5,80.57
2371,78.35
2371.5,76.683
2372,76.04
2372.5,75.031
2373,73.963
2373.5,73.604
2374,74.806
2374.5,76.045
2375,77.517
2375.5,80.145
2376,81.172
2376.5,80.206
2377,78.574
2377.5,78.144
2378,77.882
2378.5,78.047
2379,78.592
2379.5,85.282
2380,84.453
2380.5,80.903
2381,79.882
2381.5,79.397
2382,78.913
2382.5,78.428
2383,74.479
2383.5,74.182
2384,76.38
2384.5,80.422
2385,87.424
2385.5,84.512
2386,81.027
2386.5,81.707
2387,84.396
2387.5,86.82
2388,86.179
2388.5,81.924
2389,76.334
2389.5,72.489
2390,71.488
2390.5,71.255
2391,71.328
2391.5,71.4
2392,71.827
2392.5,72.772
2393,74.422
2393.5,78.946
2394,80.364
2394.5,79.644
2395,75.661
2395.5,70.239
2396,67.95
2396.5,70.011
2397,75.914
2397.5,78.109
2398,78.334
2398.5,77.244
2399,76.343
2399.5,76.203
2400,76.988
2400.5,79.419
2401,79.367
2401.5,77.689
2402,77.103
2402.5,77.647
2403,79.021
2403.5,81.215
2404,83.916
2404.5,81.975
2405,76.565
2405.5,71.988
2406,70.173
2406.5,70.776
2407,71.423
2407.5,71.385
2408,70.828
2408.5,69.815
2409,69.189
2409.5,68.972
2410,68.755
2410.5,68.629
2411,68.562
2411.5,68.52
2412,68.63
2412.5,68.892
2413,72.145
2413.5,76.527
2414,78.076
2414.5,74.384
2415,70.317
2415.5,70.092
2416,71.937
2416.5,73.834
2417,76.343
2417.5,79.039
2418,82.343
2418.5,82.441
2419,81.231
2419.5,77.304
2420,73.902
2420.5,71.32
2421,68.739
2421.5,64.26
2422,62.317
2422.5,64.133
2423,66.938
2423.5,69.828
2424,73.757
2424.5,74.281
2425,74.805
2425.5,76.406
2426,78.612
2426.5,79.025
2427,78.868
2427.5,78.781
2428,79.546
2428.5,82.893
2429,84.451
2429.5,83.501
2430,77.224
2430.5,74.247
2431,74.595
2431.5,76.561
2432,77.286
2432.5,76.916
2433,76.011
2433.5,74.579
2434,73.529
2434.5,73.235
2435,73.069
2435.5,72.96
2436,70.968
2436.5,69.728
2437,69.18
2437.5,71.253
2438,77.318
2438.5,77.256
2439,76.723
2439.5,75.234
2440,73.645
2440.5,72.055
2441,70.681
2441.5,70.686
2442,71.475
2442.5,73.156
2443,74.507
2443.5,75.588
2444,76.67
2444.5,79.512
2445,79.65
2445.5,78.29
2446,75.302
2446.5,72.315
2447,69.737
2447.5,67.99
2448,67.9
2448.5,71.659
2449,74.526
2449.5,75.175
2450,75.825
2450.5,76.476
2451,78.088
2451.5,81.051
2452,81.259
2452.5,78.99
2453,74.868
2453.5,72.675
2454,74.129
2454.5,75.83
2455,77.531
2455.5,79.21
2456,78.39
2456.5,77.469
2457,69.444
2457.5,67.762
2458,68.602
2458.5,70.423
2459,80.555
2459.5,80.871
2460,80.167
2460.5,78.671
2461,77.222
2461.5,75.954
2462,74.783
2462.5,73.851
2463,73.611
2463.5,74.178
2464,75.432
2464.5,76.686
2465,77.868
2465.5,79.035
2466,80.346
2466.5,81.657
2467,83.384
2467.5,85.717
2468,86.382
2468.5,86.606
2469,86.616
2469.5,86.348
2470,85.191
2470.5,84.019
2471,83.773
2471.5,83.682
2472,83.591
2472.5,82.565
2473,80.681
2473.5,79.122
2474,77.721
2474.5,76.341
2475,75.813
2475.5,76.354
2476,79.093
2476.5,81.413
2477,84.465
2477.5,87.271
2478,89.997
2478.5,90.268
2479,89.98
2479.5,88.953
2480,85.718
2480.5,85.184
2481,84.798
2481.5,85.748
2482,88.753
2482.5,92.342
2483,92.706
2483.5,88.646
2484,82.7
2484.5,74.79
2485,52.765
2485.5,38.387
2486,38.469
2486.5,41.177
2487,43.438
2487.5,43.162
2488,40.141
2488.5,40.276
2489,60.039
2489.5,71.082
2490,81.033
2490.5,90.865
2491,97.615
2491.5,97.915
2492,97.514
2492.5,95.735
2493,92.827
2493.5,89.878
2494,87.316
2494.5,86.297
2495,85.969
2495.5,86.64
2496,87.052
2496.5,87.464
2497,87.073
2497.5,86.388
2498,83.282
2498.5,79.831
2499,76.281
2499.5,74.867
2500,74.867
2500.5,76.631
2501,78.513
2501.5,80.283
2502,82.053
2502.5,82.825
2503,82.698
2503.5,80.665
2504,75.881
2504.5,74.717
2505,74.2
2505.5,73.75
2506,66.344
2506.5,68.041
2507,70.367
2507.5,70.771
2508,69.386
2508.5,66.517
2509,66.751
2509.5,69.414
2510,75.956
2510.5,78.21
2511,78.093
2511.5,75.107
2512,72.571
2512.5,72.179
2513,72.269
2513.5,73.733
2514,74.312
2514.5,73.735
2515,73.186
2515.5,73.619
2516,74.621
2516.5,77.057
2517,78.198
2517.5,77.347
2518,75.57
2518.5,73.489
2519,71.531
2519.5,71.419
2520,73.792
2520.5,81.476
2521,81.503
2521.5,79.882
2522,78.741
2522.5,80.721
2523,84.837
2523.5,85.387
2524,83.567
2524.5,78.542
2525,75.3
2525.5,72.474
2526,71.431
2526.5,73.651
2527,75.955
2527.5,76.275
2528,76.439
2528.5,76.843
2529,81.719
2529.5,83.98
2530,83.439
2530.5,82.457
2531,82.292
2531.5,82.372
2532,82.945
2532.5,85.295
2533,88.012
2533.5,89.413
2534,89.015
2534.5,88.124
2535,88.354
2535.5,89.123
2536,89.618
2536.5,88.829
2537,86.986
2537.5,85.014
2538,77.596
2538.5,74.025
2539,63.596
2539.5,56.986
2540,57.602
2540.5,65.118
2541,73.902
2541.5,77.943
2542,77.687
2542.5,73.145
2543,68.122
2543.5,70.581
2544,75.632
2544.5,80.711
2545,84.842
2545.5,89.564
2546,91.499
2546.5,92.781
2547,94.757
2547.5,97.765
2548,99.277
2548.5,99.998
2549,100.014
2549.5,98.719
2550,94.901
2550.5,94.722
2551,95.574
2551.5,96.719
2552,97.898
2552.5,98.203
2553,98.437
2553.5,100.978
2554,107.583
2554.5,112.295
2555,114.218
2555.5,115.832
2556,120.724
2556.5,126.199
2557,134.944
2557.5,135.415
2558,130.937
2558.5,116.407
2559,108.607
2559.5,102.688
2560,96.769
2560.5,90.851
2561,85.266
2561.5,81.929
2562,78.721
2562.5,77.997
2563,79.754
2563.5,81.939
2564,83.979
2564.5,85.269
2565,85.368
2565.5,85.271
2566,84.424
2566.5,83.812
2567,84.11
2567.5,84.778
2568,86.111
2568.5,84.201
2569,83.617
2569.5,83.725
2570,83.665
2570.5,83.044
2571,81.671
2571.5,79.715
2572,78.471
2572.5,79.291
2573,82.763
2573.5,84.568
2574,85.207
2574.5,85.845
2575,86.484
2575.5,87.122
2576,87.796
2576.5,88.548
2577,86.906
2577.5,85.232
2578,80.041
2578.5,74.371
2579,68.997
2579.5,63.623
2580,61.588
2580.5,61.108
2581,77.501
2581.5,79.984
2582,77.169
2582.5,60.458
2583,50.924
2583.5,42.405
2584,36.751
2584.5,31.552
2585,29.865
2585.5,32.514
2586,34.209
2586.5,36.514
2587,39.184
2587.5,41.842
2588,43.987
2588.5,43.77
2589,43.532
2589.5,43.261
2590,44.82
2590.5,78.426
2591,78.389
2591.5,75.537
2592,71.081
2592.5,68.897
2593,66.713
2593.5,64.529
2594,63.587
2594.5,63.423
2595,68.944
2595.5,74.961
2596,79.212
2596.5,79.328
2597,75.738
2597.5,64.992
2598,58.151
2598.5,56.084
2599,54.661
2599.5,54.121
2600,53.986
2600.5,54.094
2601,55.139
2601.5,57.155
2602,63.009
2602.5,70.531
2603,76.372
2603.5,80.298
2604,80.196
2604.5,76.691
2605,70.043
2605.5,62.47
2606,53.155
2606.5,45.027
2607,36.876
2607.5,24.812
2608,24.631
2608.5,28.662
2609,37.805
2609.5,41.698
2610,41.427
2610.5,40.479
2611,36.203
2611.5,35.845
2612,35.868
2612.5,36.051
2613,36.974
2613.5,39.573
2614,46.716
2614.5,56.128
2615,58.444
2615.5,58.767
2616,59.153
2616.5,60.054
2617,61.405
2617.5,62.405
2618,62.934
2618.5,63.589
2619,67.057
2619.5,68.809
2620,68.674
2620.5,55.301
2621,54.677
2621.5,54.856
2622,55.532
2622.5,69.046
2623,85.08
2623.5,86.664
2624,85.905
2624.5,81.047
2625,80.581
2625.5,83.005
2626,93.331
2626.5,94.81
2627,94.414
2627.5,93.195
2628,91.133
2628.5,87.561
2629,83.99
2629.5,80.803
2630,77.824
2630.5,71.924
2631,63.725
2631.5,57.001
2632,50.657
2632.5,44.313
2633,42.362
2633.5,42.36
2634,42.739
2634.5,44.062
2635,45.385
2635.5,55.166
2636,59.491
2636.5,59.714
2637,61.729
2637.5,65.922
2638,68.167
2638.5,70.411
2639,72.656
2639.5,72.415
2640,72.101
2640.5,71.787
2641,71.632
2641.5,72.205
2642,72.803
2642.5,73.499
2643,73.505
2643.5,73.044
2644,72.338
2644.5,71.569
2645,70.763
2645.5,68.908
2646,66.841
2646.5,63.611
2647,60.381
2647.5,59.405
2648,58.936
2648.5,58.824
2649,60.328
2649.5,70.245
2650,69.838
2650.5,69.562
2651,69.742
2651.5,71.226
2652,72.971
2652.5,73.734
2653,71.583
2653.5,66.467
2654,65.515
2654.5,64.594
2655,63.935
2655.5,58.949
2656,58.499
2656.5,61.191
2657,65.788
2657.5,69.837
2658,69.635
2658.5,69.433
2659,69.277
2659.5,69.277
2660,75.885
2660.5,74.576
2661,68.131
2661.5,64.834
2662,61.536
2662.5,51.616
2663,43.881
2663.5,42.861
2664,42.192
2664.5,41.295
2665,41.955
2665.5,43.711
2666,48.276
2666.5,56.72
2667,61.86
2667.5,62.863
2668,61.61
2668.5,51.261
2669,40.912
2669.5,35.657
2670,29.832
2670.5,24.988
2671,24.857
2671.5,25.176
2672,27.018
2672.5,29.158
2673,31.258
2673.5,30.999
2674,30.188
2674.5,29.658
2675,29.131
2675.5,28.814
2676,28.886
2676.5,30.533
2677,32.18
2677.5,35.584
2678,38.249
2678.5,43.372
2679,67.58
2679.5,74.126
2680,71.086
2680.5,57.526
2681,56.402
2681.5,56.461
2682,57.156
2682.5,58.136
2683,59.214
2683.5,59.892
2684,60.029
2684.5,58.913
2685,56.445
2685.5,52.858
2686,49.778
2686.5,48.942
2687,49.343
2687.5,49.879
2688,51.293
2688.5,54.732
2689,58.171
2689.5,61.61
2690,65.05
2690.5,65.662
2691,65.583
2691.5,65.459
2692,65.27
2692.5,64.912
2693,63.532
2693.5,62.106
2694,61.463
2694.5,61.049
2695,60.636
2695.5,60.223
2696,58.134
2696.5,56.751
2697,56.431
2697.5,57.346
2698,60.171
2698.5,62.25
2699,62.154
2699.5,61.051
2700,51.938
2700.5,51.275
2701,51.008
2701.5,52.258
2702,56.533
2702.5,62.585
2703,68.218
2703.5,69.63
2704,68.898
2704.5,64.089
2705,63.072
2705.5,62.77
2706,62.492
2706.5,62.247
2707,62.001
2707.5,61.67
2708,61.027
2708.5,60.385
2709,59.743
2709.5,56.368
2710,56.586
2710.5,60.277
2711,64.14
2711.5,68.003
2712,70.956
2712.5,71.594
2713,71.856
2713.5,71.093
2714,70.519
2714.5,69.983
2715,69.488
2715.5,67.828
2716,64.514
2716.5,60.624
2717,52.662
2717.5,49.159
2718,41.944
2718.5,41.681
2719,44.659
2719.5,46.741
2720,46.02
2720.5,39.052
2721,34.316
2721.5,33.048
2722,31.78
2722.5,31.094
2723,30.498
2723.5,29.902
2724,29.305
2724.5,28.709
2725,28.125
2725.5,27.481
2726,25.801
2726.5,25.336
2727,25.247
2727.5,25.521
2728,26.059
2728.5,26.658
2729,28.302
2729.5,28.314
2730,23.03
2730.5,23.073
2731,26.038
2731.5,29.412
2732,32.787
2732.5,33.816
2733,32.95
2733.5,29.835
2734,27.714
2734.5,25.762
2735,25.298
2735.5,24.977
2736,24.656
2736.5,24.593
2737,25.234
2737.5,25.65
2738,25.909
2738.5,25.94
2739,25.891
2739.5,24.967
2740,23.861
2740.5,22.754
2741,22.325
2741.5,22.398
2742,22.863
2742.5,23.706
2743,25.488
2743.5,27.477
2744,29.463
2744.5,31.337
2745,32.943
2745.5,34.549
2746,35.737
2746.5,35.825
2747,33.859
2747.5,30.525
2748,27.646
2748.5,27.728
2749,29.64
2749.5,32.193
2750,31.885
2750.5,30.352
2751,29.306
2751.5,30.093
2752,31.396
2752.5,32.798
2753,33.687
2753.5,33.612
2754,33.349
2754.5,31.809
2755,30.748
2755.5,30.534
2756,30.609
2756.5,32.057
2757,34.189
2757.5,35.335
2758,35.748
2758.5,34.791
